Query	Subject	% Similarity	E Value	Length
TC_RS00680	CPnr02	93.8	0.0	2869
TC_RS00685	CPnr03	93.04	1e-44	115
TC_RS00690	CPn0893	71.19	0.0	1996
TC_RS00695	CPn0894	70.7	2e-85	645
TC_RS00700	CPn0895	77.31	8.999999999999998e-125	573
TC_RS00705	CPn0896	80.0	0.19	35
TC_RS00710	CPn0897	71.85	7e-14	135
TC_RS00715	CPn0920	100.0	0.4	17
TC_RS00715	CPn0707	95.0	0.4	20
TC_RS00720	CPnt33	98.59	3e-30	71
TC_RS00725	CPn0899	66.23	2.0000000000000002e-24	459
TC_RS00725	CPn0899	69.88	2.0000000000000002e-24	259
TC_RS00730	CPn0900	70.3	5e-29	266
TC_RS00735	CPn0901	78.16	4e-13	87
TC_RS00740	CPn0902	68.11	9.999999999999999e-23	301
TC_RS00745	CPn0903	69.6	9.999999999999999e-134	1135
TC_RS00750	CPn0904	64.92	8.000000000000001e-21	610
TC_RS00755	CPn0905	64.24	9.999999999999998e-67	1555
TC_RS00760	CPn0353	86.67	0.03	30
TC_RS00765	CPn0126	86.21	0.017	29
TC_RS00770	CPn0275	91.3	0.024	23
TC_RS00775	CPn0910	67.29	5.999999999999999e-73	908
TC_RS00780	CPn0911	69.9	3.999999999999999e-120	1020
TC_RS00785	CPn0912	67.17	2.9999999999999996e-28	396
TC_RS00790	CPn0915	71.11	7.999999999999999e-47	360
TC_RS00795	CPn0916	75.22	0.0	1247
TC_RS00800	CPn0917	73.5	2e-74	449
TC_RS00805	CPn0918	73.08	2.9999999999999992e-99	613
TC_RS00810	CPn0919	69.02	1e-37	410
TC_RS00815	CPn0920	64.42	4e-12	385
TC_RS00820	CPn0921	67.45	9.999999999999999e-48	599
TC_RS00825	CPn0922	63.64	5.999999999999999e-37	1056
TC_RS00830	CPn0923	65.52	1.9999999999999999e-22	522
TC_RS00835	CPn0924	67.94	5.999999999999998e-121	1338
TC_RS00840	CPn0972	94.44	2.1	18
TC_RS00840	CPn0849	94.44	2.1	18
TC_RS00840	CPn0448	81.82	2.1	33
TC_RS00840	CPn0395	100.0	2.1	15
TC_RS00840	CPn0270	94.44	2.1	18
TC_RS00840	CPn0246	100.0	2.1	15
TC_RS00840	CPn0081	100.0	2.1	15
TC_RS00845	CPn0926	63.08	0.0008	279
TC_RS00850	CPn0931	70.31	0.0	1408
TC_RS00855	CPn0932	71.54	1.9999999999999995e-131	931
TC_RS00860	CPn0933	67.54	1.0000000000000001e-11	191
TC_RS00865	CPn0934	68.13	3e-14	251
TC_RS04750	CPn0935	80.43	5e-31	138
TC_RS00870	CPn0936	78.26	3e-27	138
TC_RS00875	CPn0937	79.74	1e-74	306
TC_RS00880	CPn0938	70.0	6e-06	100
TC_RS04755	CPn1027	84.62	2.3	26
TC_RS04755	CPn0225	100.0	2.3	14
TC_RS00885	CPn0939	78.27	6.9999999999999984e-87	382
TC_RS00890	CPn0940	65.79	4.999999999999999e-108	1792
TC_RS00895	CPn0941	72.55	7.999999999999998e-171	1082
TC_RS00900	CPn0942	66.72	3.9999999999999996e-97	1232
TC_RS00905	CPn0598	90.91	0.068	22
TC_RS00910	CPn0870	90.91	1.5	22
TC_RS00910	CPn0274	94.44	1.5	18
TC_RS00910	CPn0028	100.0	1.5	15
TC_RS00915	CPn0946	67.55	0.0	2404
TC_RS00920	CPn0947	71.0	2e-56	431
TC_RS00925	CPn0948	65.31	2e-48	1006
TC_RS00930	CPnt34	98.61	7.999999999999999e-31	72
TC_RS04760	CPn1055	84.0	0.52	25
TC_RS04760	CPn0062	94.44	0.52	18
TC_RS00935	CPn0949	73.12	9.999999999999999e-92	558
TC_RS00940	CPn0516	90.48	0.48	21
TC_RS00940	CPn0114	90.48	0.48	21
TC_RS00945	CPn0951	77.74	5.999999999999999e-73	337
TC_RS00950	CPn0952	77.91	2e-52	249
TC_RS00955	CPn0953	72.57	3e-41	288
TC_RS00960	CPn0954	73.44	0.018000000000000002	64
TC_RS00965	CPn1060	100.0	2.1	14
TC_RS00965	CPn0883	100.0	2.1	14
TC_RS00965	CPn0870	79.31	2.1	29
TC_RS00965	CPn0841	100.0	2.1	14
TC_RS00965	CPn0814	100.0	2.1	14
TC_RS00965	CPn0150	100.0	2.1	14
TC_RS00970	CPn0956	67.52	4.999999999999999e-88	1133
TC_RS00975	CPn0957	67.25	4e-42	516
TC_RS00980	CPn0958	70.35	2.999999999999999e-121	995
TC_RS00985	CPn0959	74.74	0.0	1552
TC_RS00990	CPn0929	94.74	0.39	19
TC_RS00990	CPn0851	79.41	0.39	34
TC_RS04765	CPn0961	75.0	2.9999999999999997e-29	180
TC_RS00995	CPn0962	70.1	9.999999999999998e-81	669
TC_RS01000	CPn0963	90.32	0.002	31
TC_RS01000	CPn0963	87.5	0.002	32
TC_RS01005	CPn0471	90.91	0.16	22
TC_RS01010	CPn0946	91.3	0.021	23
TC_RS01015	CPn0206	100.0	0.09	17
TC_RS01020	CPn0967	72.05	0.0	1338
TC_RS01025	CPn0968	64.22	8.999999999999999e-42	1294
TC_RS01030	CPn0970	67.17	2.9999999999999996e-39	533
TC_RS01035	CPn0970	66.05	3e-32	592
