Query	Subject	% Similarity	E Value
TC_RS01205	CPn1008	80.77	1e-06
TC_RS01210	CPn1009	71.98	9.999999999999997e-132
TC_RS01215	CPn1010	62.9	0.0003
TC_RS01220	CPn1011	75.9	3e-10
TC_RS01225	CPn1012	68.88	6.9999999999999994e-37
TC_RS01230	CPn1013	73.14	0.0
TC_RS01235	CPn1014	72.55	0.0
TC_RS01240	CPn0198	94.44	1.2
TC_RS01245	CPn1015	70.18	3.999999999999999e-152
TC_RS01250	CPn1016	68.05	6e-63
TC_RS01255	CPn1017	67.33	4e-74
TC_RS01260	CPn1019	64.84	1e-14
TC_RS01265	CPn0548	81.25	0.4
TC_RS01265	CPn0305	82.35	0.4
TC_RS01265	CPn0303	88.0	0.4
TC_RS01265	CPn0153	95.0	0.4
TC_RS01270	CPn1021	72.01	2e-62
TC_RS01275	CPn1022	72.34	2.9999999999999996e-65
TC_RS01280	CPnt37	97.56	4e-35
TC_RS01285	CPn0835	100.0	0.078
TC_RS01290	CPn1024	66.6	1.0000000000000001e-29
TC_RS01295	CPn0476	82.46	2e-09
TC_RS01300	CPn0475	68.15	1.9999999999999995e-166
TC_RS01305	CPn0018	84.38	0.019
TC_RS01310	CPn0338	100.0	0.57
TC_RS01315	CPn0020	91.67	0.01
TC_RS01320	CPn0970	92.0	0.08199999999999999
TC_RS01320	CPn0969	92.0	0.08199999999999999
TC_RS01325	CPn0471	80.49	0.005
TC_RS01330	CPn0466	92.59	0.002
TC_RS01335	CPn0014	75.9	2e-07
TC_RS01340	CPn0454	82.35	8e-07
TC_RS01345	CPn0336	88.0	0.15
TC_RS01350	CPn0446	72.41	0.19
TC_RS01350	CPn0279	95.65	0.19
TC_RS01355	CPn0134	94.74	1.6
TC_RS01355	CPn0082	90.48	1.6
TC_RS01360	CPn0001	71.43	6e-09
TC_RS01365	CPn0981	85.19	0.07400000000000001
TC_RS01370	CPn0003	69.43	3.999999999999999e-147
TC_RS01375	CPn0004	70.26	0.0
TC_RS01380	CPn0709	73.85	0.27
TC_RS01380	CPn0647	83.33	0.27
TC_RS01380	CPn0274	91.67	0.27
TC_RS01385	CPn0434	90.48	0.52
TC_RS01390	CPn0441	66.91	9e-39
TC_RS01395	CPn1068	68.35	7.999999999999998e-71
